[SA] n=100 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0393s | Distancia: 8072
[SA] n=100 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0017s | Distancia: 15859
[SA] n=100 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0022s | Distancia: 15392
[SA] n=100 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0014s | Distancia: 18321
[SA] n=100 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0034s | Distancia: 13550
[SA] n=100 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0045s | Distancia: 12184
[SA] n=100 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0033s | Distancia: 14217
[SA] n=100 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0228s | Distancia: 9067
[SA] n=100 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0295s | Distancia: 8881
[SA] n=100 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0144s | Distancia: 10256
[SA] n=100 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0337s | Distancia: 8228
[SA] n=100 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0466s | Distancia: 6542
[SA] n=100 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0271s | Distancia: 8399
[SA] n=100 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0018s | Distancia: 16743
[SA] n=100 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0024s | Distancia: 14991
[SA] n=100 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 18377
[SA] n=100 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0035s | Distancia: 15642
[SA] n=100 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0047s | Distancia: 13573
[SA] n=100 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0030s | Distancia: 15873
[SA] n=100 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0175s | Distancia: 9629
[SA] n=100 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0245s | Distancia: 7858
[SA] n=100 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0172s | Distancia: 9726
[SA] n=100 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0363s | Distancia: 7962
[SA] n=100 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0511s | Distancia: 7319
[SA] n=100 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0372s | Distancia: 8959
[SA] n=200 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0022s | Distancia: 41954
[SA] n=200 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0031s | Distancia: 36358
[SA] n=200 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0015s | Distancia: 42077
[SA] n=200 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0045s | Distancia: 34218
[SA] n=200 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0062s | Distancia: 34093
[SA] n=200 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0029s | Distancia: 39015
[SA] n=200 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0228s | Distancia: 24575
