[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.1038s | Distancia: 1217
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.1112s | Distancia: 1094
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.1176s | Distancia: 1093
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.1089s | Distancia: 1103
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.1101s | Distancia: 1223
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.1103s | Distancia: 1302
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.1096s | Distancia: 1048
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.1092s | Distancia: 1168
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.1143s | Distancia: 1228
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.1100s | Distancia: 1042
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0198s | Distancia: 1290
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0199s | Distancia: 1223
